so2,no2,o3,MP10
"25	","	0.001	","	34	","		200"
"24	","	1	","	38	","		127"
"34	","	0.001	","	37	","		138"
"21	","	0.001	","	28	","		145"
"27	","	1	","	29	","		112"
"43	","	3	","	26	","		116"
"30.001	","	14	","	31	","		90.001"
"14	","	28	","	59	","		33"
"8	","	39	","	51	","		22"
"5	","	44	","	22	","		15"
"5	","	45	","	9	","		5"
"4	","	43	","	7	","		15"
"5	","	39	","	7	","		16"
"4	","	41	","	7	","		32"
"3	","	38	","	10	","		24"
"5	","	25	","	6	","		26"
"5	","	19	","	9	","		21"
"7	","	1	","	24	","		50.001"
"9	","	0.001	","	28	","		83"
"13	","	1	","	49	","		147"
"30.001	","	1	","	50	","		171"
"7	","	2	","	44	","		76"
"5	","	1	","	34	","		68"
"4	","	2	","	72	","		60.001"
"6	","	3	","	64	","		10.0011"
"7	","	3	","	60	","		97"
"8	","	6	","	56	","		85"
"9	","	7	","	56	","		63"
"10.001	","	21	","	53	","		50.001"
"6	","	32	","	85	","		44"
"4	","	52	","	145	","		31"
"3	","	66	","	107	","		31"
"5	","	72	","	94	","		35"
"34	","	43	","	91	","		66"
"43	","	32	","	74	","		33"
"53	","	21	","	67	","		45"
"33	","	13	","	61	","		31"
"12	","	8	","	62	","		55"
"13	","	4	","	60	","		70.001"
"29	","	11	","	65	","		72"
"21	","	22	","	63	","		67"
"18	","	19	","	68	","		72"
"4	","	0.001	","	70	","		41"
"6	","	0.001	","	59	","		86"
"8	","	0.001	","	47	","		23"
"9	","	1	","	50	","		43"
"25	","	5	","	46	","		81"
"58	","	53	","	34	","		118"
"20.001	","	49	","	44	","		34"
"7	","	59	","	42	","		31"
"3	","	64	","	28	","		29"
"3	","	59	","	25	","		23"
"2	","	52	","	34	","		15"
"2	","	46	","	28	","		31"
"2	","	47	","	35	","		36"
"2	","	41	","	50	","		13"
"2	","	32	","	34	","		32"
"3	","	22	","	28	","		27"
"3	","	9	","	33	","		24"
"2	","	2	","	37	","		31"
"8	","	1	","	44	","		29"
"5	","	0.001	","	71	","		45"
"2	","	1	","	72	","		99"
"2	","	2	","	57	","		45"
"1	","	3	","	49	","		35"
"2	","	7	","	59	","		39"
"2	","	17	","	65	","		31"
"4	","	37	","	61	","		47"
"5	","	34	","	52	","		10.0013"
"5	","	46	","	21	","		117"
"3	","	51	","	24	","		41"
"4	","	48	","	25	","		31"
"3	","	47	","	18	","		40.001"
"3	","	32	","	22	","		46"
"2	","	21	","	26	","		37"
"2	","	8	","	24	","		42"
"1	","	3	","	44	","		50.001"
"1	","	1	","	38	","		65"
"1	","	1	","	16	","		70.001"
"1	","	1	","	7	","		65"
"0.001	","	2	","	9	","		58"
"12	","	3	","	7	","		98"
"22	","	2	","	10	","		71"
"9	","	14	","	13	","		38"
"21	","	29	","	8	","		29"
"9	","	22	","	11	","		35"
"5	","	40	","	16	","		24"
"3	","	53	","	28	","		28"
"11	","	65	","	30	","		33"
"40.001	","	81	","	26	","		19"
"51	","	88	","	20	","		30.001"
"48	","	100	","	25	","		26"
"44	","	108	","	28	","		39"
"29	","	109	","	25	","		26"
"15	","	93	","	26	","		28"
"3	","	60	","	17	","		21"
"4	","	34	","	31	","		34"
"4	","	16	","	24	","		53"
"4	","	24	","	37	","		48"
"4	","	18	","	29	","		41"
"5	","	17	","	49	","		48"
"7	","	19	","	40	","		53"
"2	","	0.001	","	21	","		26"
"1	","	0.001	","	19	","		14"
"3	","	0.001	","	16	","		12"
"4	","	0.001	","	30	","		13"
"4	","	0.001	","	38	","		35"
"4	","	5	","	34	","		26"
"3	","	15	","	26	","		33"
"4	","	28	","	22	","		31"
"5	","	45	","	23	","		21"
"4	","	63	","	20	","		18"
"12	","	76	","	18	","		35"
"19	","	79	","	8	","		31"
"10.001	","	91	","	6	","		20.001"
"4	","	59	","	10	","		21"
"5	","	9	","	17	","		28"
"5	","	4	","	13	","		27"
"3	","	16	","	8	","		30.001"
"3	","	19	","	10	","		22"
"4	","	1	","	22	","		20.001"
"7	","	0.001	","	33	","		22"
"10.001	","	1	","	24	","		30.001"
"4	","	3	","	8	","		36"
"4	","	0.001	","	7	","		43"
"8	","	0.001	","	8	","		46"
"3	","	0.001	","	6	","		38"
"4	","	2	","	9	","		44"
"15	","	3	","	11	","		43"
"8	","	11	","	14	","		41"
"11	","	21	","	22	","		42"
"15	","	31	","	10	","		57"
"11	","	51	","	11	","		41"
"6	","	85	","	12	","		35"
"9	","	128	","	10	","		32"
"23	","	62	","	18	","		73"
"30.001	","	57	","	31	","		10.0013"
"28	","	29	","	25	","		89"
"23	","	7	","	9	","		79"
"14	","	1	","	13	","		74"
"13	","	0.001	","	16	","		74"
